data,precip_mm,spi3,spi12
1970-01-01,86.1,,
1970-02-01,61.2,,
1970-03-01,124.6,0.9385238691570013,
1970-04-01,46.9,0.28063818059846196,
1970-05-01,47.3,-0.014835546723090592,
1970-06-01,40.9,-0.9047356786927705,
1970-07-01,70.6,-0.5182140834394747,
1970-08-01,45.2,-0.28339676295995747,
1970-09-01,32.2,0.039398634630921914,
1970-10-01,19.8,-0.13557726192016628,
1970-11-01,8.9,-0.3687710769625549,
1970-12-01,8.0,-1.0006337695763665,-0.09316128799502936
1971-01-01,17.0,-1.6291325130587961,-0.5234746693804951
1971-02-01,22.1,-1.905445560092305,-0.7483635113363676
1971-03-01,86.2,-0.5213682974115545,-0.9720515352305767
1971-04-01,200.6,0.8890568127515349,-0.12844658970657524
1971-05-01,94.8,1.2261487654422298,0.12533687003623106
1971-06-01,56.3,1.156437393239277,0.18429210538842417
1971-07-01,67.8,0.2136229112256923,0.21515518336229808
1971-08-01,48.0,-0.06211644097704914,0.21977792447214795
1971-09-01,32.3,0.04111927157025339,0.21486757518581306
1971-10-01,51.8,0.6447567324704709,0.3989808019224835
1971-11-01,7.4,0.4214215158270681,0.3696275321386581
1971-12-01,15.1,0.21537507398395248,0.39642235682475463
1972-01-01,54.8,-0.309824129082884,0.5342019863145844
1972-02-01,39.0,-0.2183968106731043,0.5873473437287786
1972-03-01,62.5,-0.1246725273362731,0.4925914593630854
1972-04-01,69.8,-0.3181828385298516,-0.12424705638702552
1972-05-01,103.6,0.13832037857119434,-0.06951602584531434
1972-06-01,49.5,0.10490622164137207,-0.1306311983983184
1972-07-01,31.3,-0.17880335421713825,-0.2743739561156334
1972-08-01,44.0,-0.8617777402383756,-0.2942145141420765
1972-09-01,26.8,-0.9430338589475767,-0.31657931933465217
1972-10-01,15.4,-0.4461891579407376,-0.4714183035731437
1972-11-01,2.8,-0.9600906013530176,-0.5091781071171948
1972-12-01,45.0,-0.07855805099259874,-0.3358403720383831
1973-01-01,43.6,0.00574357284302732,-0.46433362466819744
1973-02-01,43.5,0.19002170834301718,-0.45249592214668743
1973-03-01,96.6,0.1729461077654399,-0.2640377796531254
1973-04-01,126.1,0.5624236595557728,0.02317911685575234
1973-05-01,70.2,0.6035385262624018,-0.14209871390667916
1973-06-01,82.9,0.6057282933728958,0.011669721524096007
1973-07-01,45.1,-0.014351449144754419,0.13164944451825156
1973-08-01,29.3,-0.27424596951312485,0.05206552106078571
1973-09-01,55.3,-0.2994215234799963,0.18687218807834172
1973-10-01,29.0,0.26125238550482577,0.29376981920252954
1973-11-01,7.8,0.4343862221788544,0.2921215152010019
1973-12-01,12.1,-0.5239578496997992,0.14288153452809232
1974-01-01,122.2,0.9310214487761418,0.45822333008153215
1974-02-01,111.4,1.6414325759664836,0.7344111515287899
1974-03-01,212.7,2.032356955928012,1.2108554063216457
1974-04-01,167.6,2.0257577648629423,1.3991500167479978
1974-05-01,62.8,1.6065924288032887,1.368651986971854
1974-06-01,71.9,0.7908160835502714,1.3596049930863014
1974-07-01,75.8,0.12354880012831983,1.462822151983296
1974-08-01,38.7,0.12233149372428656,1.4641717953391056
1974-09-01,36.7,0.0938498539832298,1.3623220306200639
1974-10-01,12.0,-0.41005669845543224,1.2647177931712101
1974-11-01,41.9,0.40183928106608535,1.3728831011563394
1974-12-01,41.4,0.6920177693020245,1.4606580590698162
1975-01-01,51.9,0.8192103210660805,1.300064676507669
1975-02-01,36.4,0.15055347480600687,0.9935891336779843
1975-03-01,68.0,-0.1246725273362731,0.3793004033661333
1975-04-01,93.0,-0.0479766778777361,0.03481389352573978
1975-05-01,107.0,0.4079945132441529,0.26485936106705943
1975-06-01,105.3,0.8141326174001101,0.4125310804531816
1975-07-01,99.7,1.0549056314120224,0.5567894606291381
1975-08-01,56.3,0.8898946908504151,0.6176533550875541
1975-09-01,47.8,0.8537259195690559,0.6485445762662272
1975-10-01,9.7,0.26571502245041234,0.6597766043091953
1975-11-01,8.8,-0.20540209371741136,0.507695111612539
1975-12-01,39.9,-0.21815131236213609,0.4975603410413987
1976-01-01,32.7,-0.21441226791152346,0.38830572569061406
