data,precip_mm,spi3,spi12
1970-01-01,84.7,,
1970-02-01,10.0,,
1970-03-01,30.5,-0.965553247296515,
1970-04-01,13.3,-1.6187836058985419,
1970-05-01,0.3,-1.0256409280327443,
1970-06-01,0.8,-1.113638557488765,
1970-07-01,2.5,-1.21343258449265,
1970-08-01,4.2,0.22450295657337865,
1970-09-01,0.0,0.23572362136322242,
1970-10-01,45.9,2.0843706612913553,
1970-11-01,47.7,1.1260854868757448,
1970-12-01,10.8,0.1946425092423637,-1.0242067819628669
1971-01-01,5.8,-1.3847478864438532,-1.5876480289166603
1971-02-01,31.1,-1.9587389986248773,-1.4152938367085692
1971-03-01,84.2,-1.0156828438047985,-1.2501508575726454
1971-04-01,188.0,0.8279323627804362,0.0024458531477542975
1971-05-01,8.5,1.0997617075393815,0.06172866307702646
1971-06-01,11.4,1.875644550580387,0.13426008215491328
1971-07-01,1.4,0.39912021188122954,0.15069338284014172
1971-08-01,1.6,1.0396947624429391,0.13527412070922368
1971-09-01,3.0,0.12252511164723026,0.1505010280844952
1971-10-01,26.7,1.4380231363436962,0.011831678583903037
1971-11-01,77.7,1.3501430449770355,0.22603207386850419
1971-12-01,56.2,0.832317429508889,0.4793302860164409
1972-01-01,45.7,0.17250346335901426,0.6725892093197635
1972-02-01,88.5,-0.09358840962578455,0.9574563517877595
1972-03-01,77.5,-0.10736332152368712,0.9944194254909904
1972-04-01,45.5,0.12808730859313838,0.14711177409791934
1972-05-01,14.1,0.13224311975654549,0.18831094616842758
1972-06-01,1.7,0.1989999946679388,0.13110376329661338
1972-07-01,1.3,0.18382101578525833,0.1538498903920276
1972-08-01,1.2,-0.4825907077342172,0.15232192693870655
1972-09-01,1.5,-0.2968506388589342,0.13896021399889186
1972-10-01,2.1,-0.3268035764426388,-0.03576615408340681
1972-11-01,17.9,-0.6940468184990839,-0.39995788137531885
1972-12-01,107.7,0.4830247940466714,-0.019856226622489207
1973-01-01,78.7,0.4103671043454577,0.0940695883428765
1973-02-01,40.5,0.23216718364813266,-0.22603180530198425
1973-03-01,233.6,0.8747421053484077,0.757402855724494
1973-04-01,56.7,1.0143665916868987,0.8280648746092615
1973-05-01,22.3,1.267200210443012,0.8751870184885207
1973-06-01,9.2,0.6253519877222748,0.9098241972584519
1973-07-01,3.4,0.9339173779190654,0.9421721036693388
1973-08-01,0.3,0.894777625701698,0.9365060491712258
1973-09-01,8.5,0.8815426570658894,0.9854445619220777
1973-10-01,20.3,1.347943756675191,1.0917234767486965
1973-11-01,22.5,0.26913435853387935,1.0760908473656607
1973-12-01,48.4,0.009581883537953069,0.7269187507597354
1974-01-01,71.5,-0.22939432841670562,0.6824759063519011
1974-02-01,106.9,0.23131896014508688,1.01860385513622
1974-03-01,223.8,1.1554646721290944,1.0382935279904821
1974-04-01,231.5,2.3236140440010047,1.9287062225940184
1974-05-01,13.8,1.9629719645094166,1.8735326563199801
1974-06-01,3.7,2.1948086593187783,1.82287086420755
1974-07-01,5.5,0.47732062112370666,1.8470810952133425
1974-08-01,2.0,0.7140068125482963,1.8512741258339198
1974-09-01,0.6,0.43305048228704734,1.844160753552008
1974-10-01,15.2,0.7983028982010136,1.8612906840554664
1974-11-01,71.5,1.0169052624930301,1.9731294700652589
