data,precip_mm,spi3,spi12
1970-01-01,76.4,,
1970-02-01,87.8,,
1970-03-01,193.4,1.1157162306658512,
1970-04-01,131.1,1.0219544866924881,
1970-05-01,71.4,0.4625991755671684,
1970-06-01,85.0,-0.47362003249806095,
1970-07-01,103.9,-0.7069901904435028,
1970-08-01,108.2,-0.03451669503835125,
1970-09-01,64.0,0.3622238650821069,
1970-10-01,19.4,0.4159012848320295,
1970-11-01,22.1,-0.37475964686688745,
1970-12-01,28.3,-0.8357568829215533,0.13533263683276184
1971-01-01,36.6,-1.0394369037198916,-0.018604770047541234
1971-02-01,35.8,-1.2602936209765634,-0.20134875520964052
1971-03-01,100.1,-0.6031971304618983,-0.5568602240344801
1971-04-01,181.2,0.2944973110995908,-0.39350589015486936
1971-05-01,183.9,0.9085453757359947,0.01174522128671156
1971-06-01,93.9,0.6521237055086275,0.016421526315597672
1971-07-01,116.6,0.2928587028820877,0.12932881506802957
1971-08-01,66.4,-0.19618717880809808,-0.026148173084843185
1971-09-01,72.5,0.1744085901691759,-0.0031937572709272075
1971-10-01,72.2,0.6813215908328409,0.18673435028733235
1971-11-01,31.9,0.9693446133907326,0.22223750151604815
1971-12-01,37.9,0.7040658418126963,0.2573016004453391
1972-01-01,56.4,-0.10607696096441084,0.3076843203067295
1972-02-01,41.3,-0.5248726329047176,0.3302664002421913
1972-03-01,62.1,-0.7740685863259645,0.21370637337672768
1972-04-01,112.6,-0.660917345238884,-0.03697895672488129
1972-05-01,145.2,-0.10833090078141747,-0.21300794740895274
1972-06-01,127.7,0.23546009633077106,-0.11559032565666097
1972-07-01,84.5,0.062177930668600306,-0.17290060683275144
1972-08-01,108.7,0.13959048094835397,-0.009054200442542655
1972-09-01,51.2,0.06637921553726445,-0.0927229035078478
1972-10-01,41.6,0.553703749126439,-0.19234181237591325
1972-11-01,16.9,-0.2769577473076766,-0.2364925445664833
1972-12-01,66.7,0.4783279406974644,-0.1245356865094901
1973-01-01,70.0,0.3654884262508952,-0.09914708800241072
1973-02-01,94.2,0.7419995352495921,0.09092618038055186
1973-03-01,130.3,0.6339052751166434,0.32056951085121455
1973-04-01,131.2,0.6047465962713711,0.38056043486931157
1973-05-01,120.8,0.3677219095150788,0.2772276683019248
1973-06-01,225.3,0.7460487669465079,0.592853297754785
1973-07-01,101.7,0.5897314552580393,0.6942551834666866
1973-08-01,77.3,0.6538831149491303,0.5717402746412068
1973-09-01,70.3,0.11471688165208044,0.6107906846754232
1973-10-01,41.0,0.3727760699679288,0.609045403861675
1973-11-01,34.8,0.4588823357865992,0.6553345357989884
1973-12-01,26.6,0.10124652627891582,0.5419305695746813
1974-01-01,159.5,1.253725001673959,0.7979767232749624
1974-02-01,151.2,1.6999218643347684,0.9569399092287417
1974-03-01,191.2,2.020380924107148,1.1158815710010468
1974-04-01,298.3,2.4062932966141344,1.5790798685203309
1974-05-01,174.1,1.9515122330057497,1.713522897894133
1974-06-01,94.1,1.1628673773792724,1.4342748575024957
1974-07-01,178.5,0.5839696194697747,1.6255819828509088
1974-08-01,65.5,0.25643662068168915,1.543862637032368
1974-09-01,71.1,0.6819999059645386,1.521249008188095
1974-10-01,35.9,0.12890471356359012,1.482065952928148
1974-11-01,38.6,0.4498490180741541,1.4668154608266977
1974-12-01,68.6,0.717774781110825,1.549186964963991
1975-01-01,64.1,0.6281817959023694,1.3671908934647734
1975-02-01,59.5,0.3010518693811829,1.1386852542345198
1975-03-01,104.1,0.026229481800961844,0.9102812814086206
1975-04-01,86.4,-0.31108816047884263,0.28888324924911285
1975-05-01,161.1,0.14265248786450851,0.2213751334661271
1975-06-01,167.6,0.4118013495349563,0.45759589984587545
1975-07-01,149.5,0.7439643434845058,0.4151074613347597
1975-08-01,84.0,0.6362283757171174,0.456957899510082
1975-09-01,75.5,0.6346009559554043,0.4537684189264966
1975-10-01,47.6,0.6288212476956472,0.4928084671844368
1975-11-01,34.4,0.6585335350314185,0.4781640128751341
1975-12-01,47.1,0.5337734649620981,0.41667846894197413
1976-01-01,57.8,0.13116352700346426,0.38913758223718253
1976-02-01,135.3,0.8384258157099403,0.6226806008164923
1976-03-01,157.5,1.065575790961427,0.77729447090942
1976-04-01,97.2,0.8623357579866887,0.8305583026047175
1976-05-01,53.0,-0.2108666687916396,0.4846327821392937
1976-06-01,74.1,-1.124134718923203,0.14811042942308042
1976-07-01,77.7,-1.37398430213177,-0.05349059046549362
1976-08-01,45.9,-1.0501999562397093,-0.19518990718523815
1976-09-01,29.3,-1.1643872376124857,-0.373973552170303
1976-10-01,66.4,-0.4165889692452405,-0.2879791655625269
1976-11-01,39.8,0.26184537133246993,-0.2551000091826572
1976-12-01,67.0,1.0556044932492008,-0.1745488340377507
1977-01-01,123.7,1.3610061759052867,0.03599954932434691
1977-02-01,71.2,1.0520092017971794,-0.18797770375945294
1977-03-01,102.6,0.6585093589039082,-0.3870854314898692
1977-04-01,152.6,0.3714368498989444,-0.20472391895985753
1977-05-01,104.2,0.20137441763984226,-0.03985155237343517
1977-06-01,120.5,0.18419336494503938,0.10380122674262043
1977-07-01,111.6,-0.08127684725487475,0.288207481777448
1977-08-01,64.8,-0.036049503213838284,0.3381306231908001
1977-09-01,57.4,-0.04201255505036993,0.4127192554157754
1977-10-01,41.2,-0.01962879119968591,0.3384130747707318
1977-11-01,45.8,0.4280682489128471,0.3578704186687778
1977-12-01,49.9,0.6389342130307317,0.3088307794498991
1978-01-01,65.6,0.48305753966939907,0.10601220820011598
1978-02-01,147.6,1.0633964394080306,0.3602668166098974
1978-03-01,154.7,1.1881974026406465,0.524059472679322
1978-04-01,96.6,0.9267349229718077,0.3533351726864979
1978-05-01,90.7,0.06881521615364188,0.2860593329920255
1978-06-01,102.4,-0.45470473011594226,0.20349865396838482
1978-07-01,168.4,0.08896341509079786,0.4587356902705832
1978-08-01,70.0,0.2741813110038484,0.4563224847223974
1978-09-01,68.6,0.6188672724999276,0.47428623017466326
1978-10-01,45.7,0.3097657692583618,0.4909951495593226
1978-11-01,38.1,0.5706635381040774,0.46596594180309886
1978-12-01,68.9,0.8328247644020563,0.5239919199772886
1979-01-01,36.2,0.1973527334858862,0.43042485017584997
1979-02-01,42.2,-0.32823871795246895,0.09466608146692629
1979-03-01,52.9,-1.2132625602865255,-0.26082190930813043
1979-04-01,45.0,-1.6091113863472903,-0.5061354180268715
1979-05-01,116.4,-1.158540339387685,-0.43147711724088145
1979-06-01,64.7,-1.101693165239519,-0.6344680646416923
1979-07-01,58.0,-0.9294105629690169,-1.1215605601556113
1979-08-01,44.0,-1.6152833723741526,-1.1961021981492284
1979-09-01,88.1,-0.5618458233560125,-1.0549290546019654
1979-10-01,37.9,0.08894491233815638,-1.0893404097696422
1979-11-01,30.8,0.6466051277624021,-1.1021604004936782
1979-12-01,32.5,0.07803987591340127,-1.2937581144360555
1980-01-01,63.7,-0.09085391415574602,-1.169079848904008
1980-02-01,141.4,0.8117855822441523,-0.7007482080417917
1980-03-01,96.4,0.6910183036496292,-0.5032692899633806
1980-04-01,54.5,0.08170264547625657,-0.5091217575577748
1980-05-01,66.4,-1.1218660743715274,-0.766652718612108
1980-06-01,122.2,-0.9038040928354174,-0.552436422629303
1980-07-01,51.8,-0.9148649808718776,-0.5139055887065206
1980-08-01,67.3,-0.5237618569253519,-0.3934520361474385
1980-09-01,39.2,-1.061869864315239,-0.5875984850546898
1980-10-01,49.4,-0.14897184659404938,-0.52697124054328
1980-11-01,43.9,0.20382764623781316,-0.457512946478131
1980-12-01,32.3,0.484110962822681,-0.4505879173991107
1981-01-01,65.5,0.1721127169283254,-0.4723412764558271
1981-02-01,61.2,-0.14760439670289824,-0.8141404998468366
1981-03-01,251.0,1.2557950652082155,-0.1715847764442223
1981-04-01,61.5,0.7418580114710777,-0.17232573940758086
1981-05-01,62.4,0.3149094503066713,-0.21808542234609218
1981-06-01,70.1,-1.562439232242741,-0.4682823457149646
1981-07-01,68.7,-1.429693138253607,-0.3290537060459751
1981-08-01,51.7,-1.160101725410963,-0.3775664077034222
1981-09-01,45.6,-0.9263768764964241,-0.3489863696176349
1981-10-01,19.0,-0.9866657430575759,-0.45620327679143924
1981-11-01,33.2,-0.5634657027315608,-0.48363562114738834
1981-12-01,95.7,0.7762902413634137,-0.23098260388843567
1982-01-01,46.8,0.6896099878056338,-0.3281397463170182
1982-02-01,71.1,0.55354184427913,-0.28584813031728007
1982-03-01,52.2,-0.634542223503038,-1.1464386020797004
1982-04-01,72.7,-0.8846943524020582,-1.172782692095335
1982-05-01,136.4,-0.6389787262809515,-0.8378315717876247
1982-06-01,92.5,-0.3554607010603589,-0.77595134936828
1982-07-01,79.7,-0.2862671630195977,-0.6651066963239363
1982-08-01,72.2,-0.4925128939870615,-0.5436266600839655
1982-09-01,41.7,-0.5146457878445612,-0.5497776815202099
1982-10-01,28.1,-0.4086717834385518,-0.49936279648770243
1982-11-01,40.7,-0.25870274447128455,-0.45311568362886956
1982-12-01,57.9,0.4998984587380663,-0.6007175733793334
1983-01-01,75.5,0.6674338487859893,-0.5112889364192833
1983-02-01,73.0,0.4712018292315968,-0.5004290369016994
1983-03-01,141.2,0.5941312590790301,-0.14639005640094624
1983-04-01,66.7,-0.020174505715403114,-0.1958209221265418
1983-05-01,49.7,-0.676221855774679,-0.5845934821584166
1983-06-01,47.9,-2.1980152101829566,-0.8280166415069949
1983-07-01,53.3,-2.740576122459118,-0.9030231538546348
1983-08-01,58.9,-1.7829104316977773,-0.9201693329892356
1983-09-01,37.7,-1.2244744457714742,-0.9107326812953486
1983-10-01,53.3,-0.25760284281498386,-0.7857991252288341
1983-11-01,22.7,-0.18681345036368788,-0.847143106708301
1983-12-01,21.5,0.0035609689105793488,-1.0156175738429278
1984-01-01,40.6,-1.1088620259612236,-1.2192251164841061
1984-02-01,45.1,-1.0996846479016507,-1.3792916219354476
1984-03-01,105.9,-0.36730620465529934,-1.5636237154466754
1984-04-01,147.2,0.13338701870732997,-1.2019700078951385
1984-05-01,129.8,0.3719663895319424,-0.834516969006323
1984-06-01,46.7,-0.18327360167954812,-0.8822260172405811
1984-07-01,99.6,-0.5583388785244391,-0.6075505287671848
1984-08-01,67.3,-0.8353588723074017,-0.5423408408412929
1984-09-01,48.4,-0.24569385968999533,-0.48878074104763436
1984-10-01,52.7,0.06304352171313914,-0.4781117741402119
1984-11-01,35.4,0.28095278459832035,-0.4118705528586608
1984-12-01,28.1,0.34167523806026945,-0.37831509706398625
1985-01-01,84.7,0.2796273677421215,-0.23700193417902224
